Dang		Thao		Verimag				France
Fajstrup	Lisbeth		Aalborg University		Denmark
Jaulin		Luc		ENSTA Bretagne			France
Ledinot		Emmanuel	Dassault Aviation		France
Platzer		André		Carnegie Mellon University	USA

Azaiez		Selma		CEA				France
Bidet		François	LIX				France
Boulanger	Frédéric	LRI				France
Bournez		Olivier		LIX				France
Chapoutot	Alexandre	ENSTA ParisTech			France
Cucu-Grosjean	Liliana		Inria Paris			France
Dubut		Jérémy		NII Tokyo			Japan
Fahrenberg	Uli		LIX				France
Fribourg	Laurent		LSV				France
Goubault	Eric		LIX				France
Jacquemin	Maxime		CEA Saclay			France
Kröger		Paul		University of Oldenburg		Germany
Le Coënt	Adrien		Aalborg University		Denmark
Mullier		Olivier		ENSTA ParisTech			France
Nguyen Van	Hai		LRI				France
Ouazzani	Sabrina		Paris-Est Créteil		France
Pautet		Laurent		Télécom ParisTech		France
Tanguy		Herlicq		LIX				France
Westphal	Bernd		University of Freiburg		Germany

